segment_id,recording_id,speaker_group_id,dataset_split,segmentation_version,start_seconds,end_seconds,duration_seconds,audio_paṭ,review_status,transcription,final_selection,mms_draft_raw,mms_draft_normalized,final_transcription,manual_review,transcription_notes
REC034_SEG0001,REC034,SPK002,train,vad_v1,2.616,5.224,2.608,data/processed/segments/REC034/REC034_SEG0001.wav,included,azul ayṭma suyṭma ssitimeɣ atirim mliḥ,no,zul ayṭma suṭma ssitmɣa tirim mliḥ.,zul ayṭma suṭma ssitmɣa tirim mliḥ,,pending,
REC034_SEG0002,REC034,SPK002,train,vad_v1,5.688,18.376,12.688,data/processed/segments/REC034/REC034_SEG0002.wav,included,akiḍwum umaṭum ayub nhara teḥabeɣd zahwum d gijjen n texrasṭ zi ṭxrazin n lpudkast nneɣ ḍaɣimit amux ḍ zrim gi fidyuya nessiwur x rweqṭ emmi ig ṭtaw qaɛ ac tuya,no,zul ayṭma suṭma ssitmɣa tirim mliḥ.,akiḍwumaṭum a yuba nara teḥabeɣdzahwum d gijjen n texrasṭ zi ṭxrazin n lpudkast nneɣ ḍaɣimit amux ḍ zrim gifidyuya nessiwur x rweqṭ emmi id ṭtaweqqaɛac tuya,,pending,
REC034_SEG0003,REC034,SPK002,train,vad_v1,18.808,26.088,7.28,data/processed/segments/REC034/REC034_SEG0003.wav,included,qber ima nebḍa ṭaxrasta awim d akiḍ kum rkas watay enkum niɣ rkas n rqahwa ḥma ṭiri ḍaɣimita,no,"qbrim mrəbḍa ṭaxrasta, awim d akiḍ xum rkas watayənxum niɣ rkasən qahwa, ḥma ṭiri ḍaɣimita.",qbrim mrebḍa ṭaxrasta awim d akiḍ xum rkas watayenxum niɣ rkasen qahwa ḥma ṭiri ḍaɣimita,,pending,
REC034_SEG0004,REC034,SPK002,train,vad_v1,26.52,35.24,8.72,data/processed/segments/REC034/REC034_SEG0004.wav,included,tmizḍigṭ taṣebḥant gi ṭaxrazta  azzayek talbeɣ ad taris piriḍ mliḥ ad deqqened ṭitawin inek ecway,no,"tmizḍəkṭ taṣəbḥant, gətxərastaɣa zzak talbəɣ ad taris piriḍ mlayiḥ, addəqqən diṭawin ikəšway.",tmizḍekṭ taṣebḥant getxerastaɣa zzak talbeɣ ad taris piriḍ mlayiḥ addeqqen diṭawin ikecway,,pending,
REC034_SEG0005,REC034,SPK002,train,vad_v1,35.8,43.048,7.248,data/processed/segments/REC034/REC034_SEG0005.wav,included,mara ṭexsed txiyel iixfinek ira ṭettfeḍ rweqṭ s ifassen inek am ijj n ufiru niɣ ijj n uṣɣun,no,"mara ṭəxsəd, txi əli xəf yinək əla ṭəṭṭfəḍ rwəqṭ s-ifassəninək, am ijjjufiru niɣ ije uṣɣun.",mara ṭexsed txi eli xef yinek ela ṭeṭṭfeḍ rweqṭ s ifasseninek am ijjjufiru niɣ ije uṣɣun,,pending,
REC034_SEG0006,REC034,SPK002,train,vad_v1,43.544,54.728,11.184,data/processed/segments/REC034/REC034_SEG0006.wav,included,suɣumaɣ igga am ellastik itenejbaḍ mara ḍ jbeḍet bezzaf yḍegger dazegra mara ṭaxuḍas ydzeyya,no,"suɣumaigəɣ aməllastikitənəjbaḍ, məra ḍ jbəḍət bəssaf yḍəggər daa azəgra, mara ṭaxuḍhas ydzəyya.",suɣumaigeɣ amellastikitenejbaḍ mera ḍ jbeḍet bessaf yḍegger daa azegra mara ṭaxuḍhas ydzeyya,,pending,
REC034_SEG0007,REC034,SPK002,train,vad_v1,55.192,65.864,10.672,data/processed/segments/REC034/REC034_SEG0007.wav,included,eḍ wa ḍ rweqṭ amyi igiga xelli rebɛad n n lɛulama lisyentifik qqanak  rweqṭ maṭalan ijjen tminut daks sttin sugund,no,"əḍwa ḍ rwəxṭ,ammi igika, xəlli rəbɛadən n lɛulama, lisyəntifik qqan ak rwəxṭ ma ṭanan ijjen n lminut də si suku.",eḍwa ḍ rweqṭ ammi igika xelli rebɛaden n lɛulama lisyentifik qqan ak rweqṭ ma ṭanan ijjen n lminut de si suku,,pending,
REC034_SEG0008,REC034,SPK002,train,vad_v1,66.232,75.016,8.784,data/processed/segments/REC034/REC034_SEG0008.wav,included,sakand ijjen ssaɛat daksa ireqqasem ireqqasen nni ticenakd cḥa din n sigundu d gikur minut cḥa din t minuṭin di kur ssaɛat,no,sakand ijjen ssaɛat daksa rəqqasəm irəqqasən nni dišən ak təšḥaḍinə n sigundu d-gikur minu dšḥaḍin t minuṭin ikur ssaɛat.,sakand ijjen ssaɛat daksa reqqasem ireqqasen nni dicen ak tecḥaḍine n sigundu d gikur minu dcḥaḍin t minuṭin ikur ssaɛat,,pending,
REC034_SEG0009,REC034,SPK002,train,vad_v1,75.416,85.992,10.576,data/processed/segments/REC034/REC034_SEG0009.wav,included,zi cḥa din n swayeɛ gi kur nha maca gi lḥaqiqa rweqṭ udji bu d manayenni rweqṭ ɣas ṭnayen iɣembab niɣ ṭnayenn ikemman akemmar amezgaru,no,"zəšḥad inəsway akikur naa, maš aki lḥaqiqa, rwəxṭ jibud manayənni, rwəxṭ xars nayən iɣəmbab, niɣ ṭnayənn kəmman, akəmmar aməzgaru.",zecḥad inesway akikur naa mac aki lḥaqiqa rweqṭ jibud manayenni rweqṭ xars nayen iɣembab niɣ ṭnayenn kemman akemmar amezgaru,,pending,
REC034_SEG0010,REC034,SPK002,train,vad_v1,86.136,98.344,12.208,data/processed/segments/REC034/REC034_SEG0010.wav,included,ɛaweḍ min ḍax eqqan lɛulama yina sayentist qanak qa rweqṭ ḍ ijjen n ṭmesrayṭ fiks qanas s frensis situn uniti d muzuɣ maṭalan,no,"awəḍ min ḍaxəqqarn lɛulama aynasyəntəstqanaš qa rwəxṭ ḍ ijjen n ṭməsrayṭ fiks, qanas-sfrənsis situn unitid  muzuɣ, maṭalan.",aweḍ min ḍaxeqqarn lɛulama aynasyentestqanac qa rweqṭ ḍ ijjen n ṭmesrayṭ fiks qanas sfrensis situn unitid muzuɣ maṭalan,,pending,
REC034_SEG0011,REC034,SPK002,train,vad_v1,98.584,110.728,12.144,data/processed/segments/REC034/REC034_SEG0011.wav,included,sigundu niɣ minut niɣ ḍsaɛet uḍ zzaman s ixefines niɣ ḍ rweqṭ s ixefines ydja yjɛal lasyuns niɣ lɛilem,no,"sigundu niɣ minut, niɣ ḍsaɛət, uḍ zzaman z-ixəfinəs niɣ ḍ- lwəqṭ s-ixəfinnəs,  ydja jɛa  lasyuns, niɣ, lɛiləm.",sigundu niɣ minut niɣ ḍsaɛet uḍ zzaman z ixefines niɣ ḍ lweqṭ s ixefinnes ydja jɛa lasyuns niɣ lɛilem,,pending,
REC034_SEG0012,REC034,SPK002,train,vad_v1,111.128,119.272,8.144,data/processed/segments/REC034/REC034_SEG0012.wav,included,ad ttuwwer adt ifulya ad tuga ɣa zdaṭ maca necnin nesḥissa ira lweqṭ uɛeddici kif kif,no,"adṭṭuwwər adt ifulyu, ad tugaɣa zdaṭ, maša nəšni nəsḥissa ɣira lwəqṭ uɛəddi šid kif kif.",adṭṭuwwer adt ifulyu ad tugaɣa zdaṭ maca necni nesḥissa ɣira lweqṭ uɛeddi cid kif kif,,pending,
REC034_SEG0013,REC034,SPK002,train,vad_v1,119.608,132.52,12.912,data/processed/segments/REC034/REC034_SEG0013.wav,included,djan rbɛad n mumintuṭ ɛeddan ḍɣya rbɛad mumintuṭ ɛeddan cway cway umi n nzar kurma nwsa kurma n numɣa nesḥissa ira rweqṭ iɛedda ḍɣya iɛedda itazzer,no,"njan rbɛad mmumin tut ɛəddan ḍɣya, rbɛad mmumin tuṭɛəddan šwayəšway, umin nzar, kurman wsa kurman numɣa, nəsḥissa, ira rwəqṭ, iɛədda ḍɣya, ihədday tazzər.",njan rbɛad mmumin tut ɛeddan ḍɣya rbɛad mmumin tuṭɛeddan cwayecway umin nzar kurman wsa kurman numɣa nesḥissa ira rweqṭ iɛedda ḍɣya ihedday tazzer,,pending,
REC034_SEG0014,REC034,SPK002,train,vad_v1,132.984,144.68,11.696,data/processed/segments/REC034/REC034_SEG0014.wav,included,rebḥant ureṭni teseqsiɣ ixef inu qars maɣar wami ḥeqqb ɣaḍ za ɣ tmamin min qqaan lɛulama aki manaya ufi ɣasen ntmeɣ bzzaaf ndɣummur amaysmys zarren,no,"rəbḥant urəṭni təsəqsiɣ ixəf inu qars maɣar, wami ḥəqqb ɣaḍ za ɣ tmamin, min qqaan lɛulama aki manaya, ufi ɣasən ntməɣ bzzaaf ndɣummur amaysmys dzarən.",rebḥant ureṭni teseqsiɣ ixef inu qars maɣar wami ḥeqqb ɣaḍ za ɣ tmamin min qqaan lɛulama aki manaya ufi ɣasen ntmeɣ bzzaaf ndɣummur amaysmys dzaren,,pending,
REC034_SEG0015,REC034,SPK002,train,vad_v1,144.952,148.392,3.44,data/processed/segments/REC034/REC034_SEG0015.wav,included,ṭamesrayṭa mara ṭraḥeḍ a ṣḥab ɛilm nnefs,no,ṭaməsrayṭa mala ṭraḥ ḍ ṣḥab ɛilm nnəfs.,ṭamesrayṭa mala ṭraḥ ḍ ṣḥab ɛilm nnefs,,pending,
