segment_id,recording_id,speaker_group_id,dataset_split,segmentation_version,start_seconds,end_seconds,duration_seconds,audio_path,review_status,transcription,final_selection
REC010_SEG0001,REC010,SPK001,train,vad_v1,0.12,1.232,1.112,data/processed/segments/REC010/REC010_SEG0001.wav,included,iwa anebḍam,yes
REC010_SEG0002,REC010,SPK001,train,vad_v1,1.232,16.048,14.816,data/processed/segments/REC010/REC010_SEG0002.wav,included,ṣaḥit wami tusim ḍa ɣa vidyo wis ɛecra gi vidyo ya anessiwer x iqbiren x uqbir anessiwer x iwḍan mizi gin iqbiren gi ṭemmura nneɣ ṭamuarṭ nneɣ,yes
REC010_SEG0003,REC010,SPK001,train,vad_v1,16.048,21.696,5.648,data/processed/segments/REC010/REC010_SEG0003.wav,included,x mux tirin x mux teggen iwḍan iqbiren ak wayawya,yes
REC010_SEG0004,REC010,SPK001,train,vad_v1,21.696,36.192,14.496,data/processed/segments/REC010/REC010_SEG0004.wav,included,u ɛaweḍ a nessiwar xmi tirin iqbiren mux teggen iwḍan azzun imukan nsen ḥema aḍgen ak wayawya aqbir u ɛawed gi vidyo ya a nessiwer x ismawen minzi attas n iwḍan,yes
REC010_SEG0005,REC010,SPK001,train,vad_v1,36.192,48.448,12.256,data/processed/segments/REC010/REC010_SEG0005.wav,included,uɣren ci ḥemken teḥsaben ixefensen ḍ cey neṭnin ussinen ura ussinen waxa ḍ ismawen n imezwura nsen ussinen ismawen n iwḍan n bara,yes
REC010_SEG0006,REC010,SPK001,train,vad_v1,48.448,55.176,6.728,data/processed/segments/REC010/REC010_SEG0006.wav,included,teftufen waha teggen zeg teggen ciki s ḍeɣyer xa zi mizi ḍas nniɣ adggeɣ vidyo ya ḥma,yes
REC010_SEG0007,REC010,SPK001,train,vad_v1,55.512,64.648,9.136,data/processed/segments/REC010/REC010_SEG0007.wav,included,ḥma aḍ ssnen iwḍan mux ḍas n qqan iwḍan gi ṭmura nneɣ ḍ iwḍan n bara,yes
REC010_SEG0008,REC010,SPK001,train,vad_v1,64.664,73.968,9.304,data/processed/segments/REC010/REC010_SEG0008.wav,included,u ɛawaḍ zi ssa agayta mara ṭufimay gi vidyawaṭ ya ssawareɣ s rebɛaḍ n wawaren wen tessinem ad tessnem mix qqaɣ awaren nni,yes
REC010_SEG0009,REC010,SPK001,train,vad_v1,73.968,83.72,9.752,data/processed/segments/REC010/REC010_SEG0009.wav,included,bac ataf zi ssa agayta udji aday ṭeqqam qa cek ussined ci lla ixsa aḍay ṭfahmem mizi qa rebɛaḍ wawaren gi vidyawaṭ a,yes
REC010_SEG0010,REC010,SPK001,train,vad_v1,84.152,88.904,4.752,data/processed/segments/REC010/REC010_SEG0010.wav,included,mix anessiwer x manaya waxxa eḍfamayd,yes
REC010_SEG0011,REC010,SPK001,train,vad_v1,90.104,96.456,6.352,data/processed/segments/REC010/REC010_SEG0011.wav,included,a rux necc ugiɣ ad ssiwreɣ x ṭamezgarut n iwḍan qqaɛ,yes
REC010_SEG0012,REC010,SPK001,train,vad_v1,96.696,105.864,9.168,data/processed/segments/REC010/REC010_SEG0012.wav,included,rux waxxa umnaɣ zi ad nni umnaɣ reqwaḍ ni udji bu ḍ cɣer inu nec ussiwereɣ ci x rweqt n adam wami ɣa,yes
REC010_SEG0013,REC010,SPK001,train,vad_v1,105.976,114.984,9.008,data/processed/segments/REC010/REC010_SEG0013.wav,included,niɣ reqwad wami ɣa bḍan iwḍan lla necc mix iɣa ssiwreɣ necc aḍ ssiwreɣ x mux bḍan iwḍan gi ṭmura nneɣ,yes
REC010_SEG0014,REC010,SPK001,train,vad_v1,116.024,120.68,4.656,data/processed/segments/REC010/REC010_SEG0014.wav,included,fahmeḍ udji ci anaḥ a ṭamezgarut qqaɛ waxxa,yes
REC010_SEG0015,REC010,SPK001,train,vad_v1,121.112,133.0,11.888,data/processed/segments/REC010/REC010_SEG0015.wav,included,ṭimura nneɣ ira exxrant ṭammurṭ nneɣ ira ṭexxra amezgaru ira ḍin ira ḍin rebḥa ira ḍin ejdi ira ḍin rɣabeṭ ira ḍin rebɛad n ṭimura tibatayin ayenni waha,yes
REC010_SEG0016,REC010,SPK001,train,vad_v1,134.136,139.08,4.944,data/processed/segments/REC010/REC010_SEG0016.wav,included,xa mizi ibedda mizi ibedda,yes
REC010_SEG0017,REC010,SPK001,train,vad_v1,139.608,153.936,14.328,data/processed/segments/REC010/REC010_SEG0017.wav,included,ijjen qumn ijjen n marka n iwḍan beddan s familiyaṭ i gixran tammurṭ nneɣni waxxa tiri n familiyaṭ rbɛad n swayeɛ s iḥamucen rbɛad n swayeɛ s bra iḥamucen,yes
REC010_SEG0018,REC010,SPK001,train,vad_v1,153.936,164.864,10.928,data/processed/segments/REC010/REC010_SEG0018.wav,included,ggʷan zi gi ijjen n ṭammurṭ mizi tafen ḍin amenɣi tafen ḍin itwekkes erqanun tafen iwḍan nni twaddjen tusma yqeɛsen ddec xa,yes
REC010_SEG0019,REC010,SPK001,train,vad_v1,164.864,173.0,8.136,data/processed/segments/REC010/REC010_SEG0019.wav,included,niɣ qebren zi ddec uxa tafen neṭnin s ixefessen uzemma aḍ din iɛicen niɣ aḍ ɛicen ɛad ṭawa nsen uxa xedjan ṭammurṭ nni,yes
REC010_SEG0020,REC010,SPK001,train,vad_v1,173.176,181.64,8.464,data/processed/segments/REC010/REC010_SEG0020.wav,included,rux ṭammurṭ nneɣ imekken umi ira uḍin ḍi bu iwḍan ira ḍin ɣa ruḥuc waha d ufin familyaṭ nni imezgura wami ammen ḍa i ɣa neqqim ṭamurt ṭtabbaḥṭ,yes
REC010_SEG0021,REC010,SPK001,train,vad_v1,181.656,189.896,8.24,data/processed/segments/REC010/REC010_SEG0021.wav,included,udsen nnaneɣ eɣzan yuḍsaneɣ rebḥa manis d ɣa negma u safi,yes
REC010_SEG0022,REC010,SPK001,train,vad_v1,190.328,204.864,14.536,data/processed/segments/REC010/REC010_SEG0022.wav,included,uḍfen tammurṭ nni qa ta aɛemma n timmura ammen ituqiɛ waxxa familya tiri abas ḍ yemmas twasemma ṭamɣaṭ ḍ wagaz tejjand iḥamucen nsen rux mara din ɣa cin familyaṭ mrra,yes
REC010_SEG0023,REC010,SPK001,train,vad_v1,204.864,213.32,8.456,data/processed/segments/REC010/REC010_SEG0023.wav,included,teggen ṭarwa nsen tessarayend ṭarwa nsen bac aḍ emsemraken amja ɣa ṭuqeɛ manayenni atiri familya tameqqrant,yes
